Institution,Query,Link 1,Link 2,Link 3
Washburn University,Washburn University Delta_Chi frat,https://www.washburn.edu/student-life/student-involvement/fsl/fraternities/index.html,https://www.washburn.edu/student-life/student-involvement/fsl/fraternities/index.html,https://www.washburn.edu/student-life/student-involvement/fsl/fraternities/index.html
University of Illinois Chicago,University of Illinois Chicago Delta_Chi frat,https://fsaffairs.illinois.edu/organizations/fraternities/DeltaChi,https://fsaffairs.illinois.edu/organizations/fraternities/DeltaChi,https://fsaffairs.illinois.edu/organizations/fraternities/DeltaChi
University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill Delta_Chi frat,https://www.uncifc.com/fraternity/delta-chi,https://www.uncifc.com/fraternity/delta-chi,https://www.greekrank.com/uni/47/fraternity/D-Chi-Delta-Chi/46/rating/
Iowa State University,Iowa State University Delta_Chi frat,https://sfe.dso.iastate.edu/chapter/delta-chi,https://sfe.dso.iastate.edu/chapter/delta-chi,https://www.facebook.com/IowaStateUniversityDeltaChi/
Kennesaw State University,Kennesaw State University Delta_Chi frat,https://www.kennesaw.edu/student-affairs/involvement/fraternity-sorority-life/our-community/interfraternity-council/delta-chi.php,https://www.kennesaw.edu/student-affairs/involvement/fraternity-sorority-life/our-community/interfraternity-council/delta-chi.php,https://www.greekrank.com/uni/288/fraternity/D-Chi-Delta-Chi/46/rating/
Youngstown State University,Youngstown State University Delta_Chi frat,https://ysu.edu/greek-life/fraternities,https://ysu.edu/greek-life/fraternities,https://ysu.edu/greek-life/fraternities
University of Memphis,University of Memphis Delta_Chi frat,https://www.memphis.edu/studentinvolvement/studentengagement/fsa-about.php/,https://www.memphis.edu/studentinvolvement/studentengagement/fsa-about.php/,https://www.greekrank.com/uni/345/fraternities/
Virginia Commonwealth University,Virginia Commonwealth University Delta_Chi frat,https://www.cbsnews.com/news/adam-oakes-hazing-death-lawsuit-28-million-fraternity-delta-chi-virginia-commonwealth-university/,https://www.cbsnews.com/news/adam-oakes-hazing-death-lawsuit-28-million-fraternity-delta-chi-virginia-commonwealth-university/,https://www.cbsnews.com/news/adam-oakes-hazing-death-lawsuit-28-million-fraternity-delta-chi-virginia-commonwealth-university/
Kettering University,Kettering University Delta_Chi frat,https://asection.ketteringdeltachi.org/wp/recruitment/,https://www.kettering.edu/life-at-kettering/clubs-organizations/fraternity-and-sorority-life,https://www.kettering.edu/life-at-kettering/clubs-organizations/fraternity-and-sorority-life
Kent State University at Ashtabula,Kent State University at Ashtabula Delta_Chi frat,https://www.kent.edu/csi/delta-chi-fraternity,https://www.kent.edu/csi/delta-chi-fraternity,https://www.kent.edu/csi/delta-chi-fraternity
New Mexico State University-Main Campus,New Mexico State University-Main Campus Delta_Chi frat,https://studentlife.nmsu.edu/fsl/index.html,https://studentlife.nmsu.edu/fsl/index.html,https://www.greekrank.com/uni/233/fraternities/
Tarleton State University,Tarleton State University Delta_Chi frat,https://tarletondeltachi.org/,https://www.tarleton.edu/greek-life/,https://www.tarleton.edu/greek-life/
California Polytechnic State University-San Luis Obispo,California Polytechnic State University-San Luis Obispo Delta_Chi frat,https://greeklife.calpoly.edu/,https://greeklife.calpoly.edu/,https://www.greekrank.com/uni/201/fraternity/D-Chi-Delta-Chi/46/rating/
Northwestern University,Northwestern University Delta_Chi frat,https://www.northwestern.edu/fsl/about-us/chapter-houses.html,https://www.northwestern.edu/fsl/about-us/chapter-houses.html,https://www.greekrank.com/uni/66/fraternity/D-Chi-Delta-Chi/46/rating/
Rutgers University-Camden,Rutgers University-Camden Delta_Chi frat,https://greeklife.rutgers.edu/chapters/recognized-chapters,https://greeklife.rutgers.edu/chapters/recognized-chapters,https://camden.rutgers.edu/fraternity-sorority-affairs
University of Arkansas,University of Arkansas Delta_Chi frat,https://www.greekrank.com/uni/477/fraternity/D-Chi-Delta-Chi/46/rating/rating-1923517/,https://www.greekrank.com/uni/477/fraternity/D-Chi-Delta-Chi/46/rating/rating-1923517/,https://www.greekrank.com/uni/477/fraternity/D-Chi-Delta-Chi/46/rating/rating-1923517/
University of Southern California,University of Southern California Delta_Chi frat,https://deltachi.org/usc-expansion-2/,https://www.greekrank.com/uni/49/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/49/fraternity/D-Chi-Delta-Chi/46/rating/
